# CIV.EXE — discovered functions (1142 total)
# fields: addr  seg  name  body_size  param_count  source

1068:0026       1068    FUN_1068_0026                                         38    0  DEFAULT
1068:004c       1068    FUN_1068_004c                                        585    0  DEFAULT
1068:0295       1068    FUN_1068_0295                                        717    1  DEFAULT
1068:062f       1068    FUN_1068_062f                                        128    9  DEFAULT
1068:06af       1068    FUN_1068_06af                                       5466    8  DEFAULT
1068:1c13       1068    FUN_1068_1c13                                        452    6  DEFAULT
1068:1dd7       1068    FUN_1068_1dd7                                        423    4  DEFAULT
1068:1f7e       1068    FUN_1068_1f7e                                         97    3  DEFAULT
1068:2072       1068    FUN_1068_2072                                        656    4  DEFAULT
1068:2302       1068    FUN_1068_2302                                        600    4  DEFAULT
1068:255a       1068    FUN_1068_255a                                         53    2  DEFAULT
1068:258f       1068    FUN_1068_258f                                        391    2  DEFAULT
1068:2716       1068    FUN_1068_2716                                         18    0  DEFAULT
1068:2728       1068    FUN_1068_2728                                        261    2  DEFAULT
1068:282d       1068    FUN_1068_282d                                         83    4  DEFAULT
1070:0000       1070    FUN_1070_0000                                        684    0  DEFAULT
1070:02b5       1070    FUN_1070_02b5                                        114    0  DEFAULT
1070:0327       1070    FUN_1070_0327                                       3313    3  DEFAULT
1070:1018       1070    FUN_1070_1018                                        179    2  DEFAULT
1070:10cb       1070    FUN_1070_10cb                                         81    4  DEFAULT
1070:11f2       1070    FUN_1070_11f2                                         90    3  DEFAULT
1070:124e       1070    FUN_1070_124e                                         44    4  DEFAULT
1070:127a       1070    FUN_1070_127a                                         59    3  DEFAULT
1070:12b5       1070    FUN_1070_12b5                                       1006    0  DEFAULT
1070:16c3       1070    FUN_1070_16c3                                        655    2  DEFAULT
1070:1952       1070    FUN_1070_1952                                        936    2  DEFAULT
1070:1cfa       1070    FUN_1070_1cfa                                        257    3  DEFAULT
1070:1dfb       1070    FUN_1070_1dfb                                        124    4  DEFAULT
1070:1e77       1070    FUN_1070_1e77                                        225    3  DEFAULT
1070:1f58       1070    FUN_1070_1f58                                        189    0  DEFAULT
1070:2015       1070    FUN_1070_2015                                        262    1  DEFAULT
1078:0000       1078    FUN_1078_0000                                       5248    1  DEFAULT
1078:1480       1078    FUN_1078_1480                                      12290    3  DEFAULT
1078:448f       1078    FUN_1078_448f                                        205    1  DEFAULT
1078:455c       1078    FUN_1078_455c                                        731    5  DEFAULT
1078:4837       1078    FUN_1078_4837                                        193    2  DEFAULT
1078:48f8       1078    FUN_1078_48f8                                         63    1  DEFAULT
1078:4937       1078    FUN_1078_4937                                        277    5  DEFAULT
1078:4a4c       1078    FUN_1078_4a4c                                        193    2  DEFAULT
1078:4b0d       1078    FUN_1078_4b0d                                        269    5  DEFAULT
1078:4c1a       1078    FUN_1078_4c1a                                        139    5  DEFAULT
1078:4ca5       1078    FUN_1078_4ca5                                        131    2  DEFAULT
1078:4d28       1078    FUN_1078_4d28                                        170    1  DEFAULT
1078:4dd2       1078    FUN_1078_4dd2                                        317    3  DEFAULT
1078:4f0f       1078    FUN_1078_4f0f                                       3131    2  DEFAULT
1078:5b4e       1078    FUN_1078_5b4e                                        479    1  DEFAULT
1080:0000       1080    FUN_1080_0000                                         35    0  DEFAULT
1080:0023       1080    FUN_1080_0023                                        111    0  DEFAULT
1080:0092       1080    FUN_1080_0092                                        135    0  DEFAULT
1080:0119       1080    FUN_1080_0119                                       1138    0  DEFAULT
1080:0595       1080    FUN_1080_0595                                        362    0  DEFAULT
1080:06ff       1080    FUN_1080_06ff                                        668    2  DEFAULT
1080:099b       1080    FUN_1080_099b                                        796    0  DEFAULT
1088:0000       1088    FUN_1088_0000                                       2925    0  DEFAULT
1088:0b6d       1088    FUN_1088_0b6d                                        124    1  DEFAULT
1088:0be9       1088    FUN_1088_0be9                                       1185    0  DEFAULT
1088:108a       1088    FUN_1088_108a                                        843    0  DEFAULT
1088:13d5       1088    FUN_1088_13d5                                       1709    0  DEFAULT
1088:1a82       1088    FUN_1088_1a82                                        791    4  DEFAULT
1088:1d99       1088    FUN_1088_1d99                                         55    1  DEFAULT
1088:1dd0       1088    FUN_1088_1dd0                                         98    0  DEFAULT
1088:1e32       1088    FUN_1088_1e32                                       1283    0  DEFAULT
1088:2335       1088    FUN_1088_2335                                        134    4  DEFAULT
1088:23bb       1088    FUN_1088_23bb                                         41    1  DEFAULT
1090:0119       1090    FUN_1090_0119                                         69    4  DEFAULT
1090:015e       1090    FUN_1090_015e                                        372    0  DEFAULT
1090:02d2       1090    FUN_1090_02d2                                        164    0  DEFAULT
1090:0376       1090    FUN_1090_0376                                        274    4  DEFAULT
1090:0488       1090    FUN_1090_0488                                        270    0  DEFAULT
1090:0596       1090    FUN_1090_0596                                         69    0  DEFAULT
1090:05db       1090    FUN_1090_05db                                        149    0  DEFAULT
1090:0670       1090    FUN_1090_0670                                        141    2  DEFAULT
1090:06fd       1090    FUN_1090_06fd                                        171    2  DEFAULT
1098:0000       1098    FUN_1098_0000                                        181    3  DEFAULT
1098:00b5       1098    FUN_1098_00b5                                        136    1  DEFAULT
1098:013d       1098    FUN_1098_013d                                         26    1  DEFAULT
1098:0157       1098    FUN_1098_0157                                         19    0  DEFAULT
